"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","apm:apmNumber","apm:apmYear","apm:beginningBatesNumber","apm:endingBatesNumber","apm:startImage","apm:endImage","apm:boxSequence","apm:documentType","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion"
337790,"GMD041910.pdf","GMD041910.pdf","All Participant Memos","APMs","All Participant Memos","","9621 - 1996","9621","1996","APMS-0002-1807","APMS-0002-1816","1","10","353","APMs","","GMD041910","1"
44851,"GMD041920.pdf","GMD041920.pdf","All Participant Memos","APMs","All Participant Memos","","9631 - 1996","9631","1996","APMS-0002-2220","APMS-0002-2220","1","1","363","APMs","","GMD041920","1"
41964,"GMD041952.pdf","GMD041952.pdf","All Participant Memos","APMs","All Participant Memos","","91-17 - 1991","91-17","1991","APMS-0003-1171","APMS-0003-1171","1","1","31","APMs","","GMD041952","1"
78610,"GMD041961.pdf","GMD041961.pdf","All Participant Memos","APMs","All Participant Memos","","92-26 - 1992","92-26","1992","APMS-0003-1320","APMS-0003-1321","1","2","40","APMs","","GMD041961","1"
3842786,"GMD041963.pdf","GMD041963.pdf","All Participant Memos","APMs","All Participant Memos","","92-24 - 1992","92-24","1992","APMS-0003-1329","APMS-0003-1413","1","86","42","APMs","","GMD041963","1"
10906,"GMD041997.pdf","GMD041997.pdf","All Participant Memos","APMs","All Participant Memos","","93-11 - 1993","93-11","1993","APMS-0003-1811","APMS-0003-1811","1","1","77","APMs","","GMD041997","1"
1256798,"GMD041998.pdf","GMD041998.pdf","All Participant Memos","APMs","All Participant Memos","","93-12 - 1993","93-12","1993","APMS-0003-1812","APMS-0003-1851","1","40","78","APMs","","GMD041998","1"
44575,"GMD042012.pdf","GMD042012.pdf","All Participant Memos","APMs","All Participant Memos","","94-4 - 1994","94-4","1994","APMS-0003-1910","APMS-0003-1910","1","1","92","APMs","","GMD042012","1"
662619,"GMD042042.pdf","GMD042042.pdf","All Participant Memos","APMs","All Participant Memos","","95-9 - 1995","95-9","1995","APMS-0003-2206","APMS-0003-2225","1","20","122","APMs","","GMD042042","1"
2115453,"GMD042045.pdf","GMD042045.pdf","All Participant Memos","APMs","All Participant Memos","","95-12 - 1995","95-12","1995","APMS-0003-2231","APMS-0003-2281","1","51","125","APMs","","GMD042045","1"
29404,"GMD042059.pdf","GMD042059.pdf","All Participant Memos","APMs","All Participant Memos","","95-26 - 1995","95-26","1995","APMS-0003-2410","APMS-0003-2410","1","1","139","APMs","","GMD042059","1"
26903,"GMD042064.pdf","GMD042064.pdf","All Participant Memos","APMs","All Participant Memos","","95-31 - 1995","95-31","1995","APMS-0003-2482","APMS-0003-2482","1","1","144","APMs","","GMD042064","1"
323866,"GMD042080.pdf","GMD042080.pdf","All Participant Memos","APMs","All Participant Memos","","96-14 - 1996","96-14","1996","APMS-0003-2801","APMS-0003-2809","1","9","160","APMs","","GMD042080","1"
26923,"GMD042082.pdf","GMD042082.pdf","All Participant Memos","APMs","All Participant Memos","","96-16 - 1996","96-16","1996","APMS-0003-2814","APMS-0003-2814","1","1","162","APMs","","GMD042082","1"
11380377,"GMD042091.pdf","GMD042091.pdf","All Participant Memos","APMs","All Participant Memos","","96-25 - 1996","96-25","1996","APMS-0003-2951","APMS-0003-3232","1","282","171","APMs","","GMD042091","1"
690167,"GMD042100.pdf","GMD042100.pdf","All Participant Memos","APMs","All Participant Memos","","97-2 - 1997","97-2","1997","APMS-0004-0019","APMS-0004-0038","1","20","181","APMs","","GMD042100","1"
365676,"GMD042106.pdf","GMD042106.pdf","All Participant Memos","APMs","All Participant Memos","","97-8 - 1997","97-8","1997","APMS-0004-0111","APMS-0004-0121","1","12","187","APMs","","GMD042106","1"
441528,"GMD042110.pdf","GMD042110.pdf","All Participant Memos","APMs","All Participant Memos","","97-12 - 1997","97-12","1997","APMS-0004-0160","APMS-0004-0172","1","13","191","APMs","","GMD042110","1"
821754,"GMD042118.pdf","GMD042118.pdf","All Participant Memos","APMs","All Participant Memos","","97-20 - 1997","97-20","1997","APMS-0004-0223","APMS-0004-0244","1","22","199","APMs","","GMD042118","1"
425787,"GMD042124.pdf","GMD042124.pdf","All Participant Memos","APMs","All Participant Memos","","97-26 - 1997","97-26","1997","APMS-0004-0270","APMS-0004-0282","1","13","205","APMs","","GMD042124","1"
47834,"GMD042135.pdf","GMD042135.pdf","All Participant Memos","APMs","All Participant Memos","","97-37 - 1997","97-37","1997","APMS-0004-0400","APMS-0004-0400","1","1","216","APMs","","GMD042135","1"
27993,"GMD042148.pdf","GMD042148.pdf","All Participant Memos","APMs","All Participant Memos","","98-8 - 1998","98-8","1998","APMS-0004-0496","APMS-0004-0496","1","1","229","APMs","","GMD042148","1"
439706,"GMD042156.pdf","GMD042156.pdf","All Participant Memos","APMs","All Participant Memos","","98-16 - 1998","98-16","1998","APMS-0004-0554","APMS-0004-0566","1","14","237","APMs","","GMD042156","1"
449535,"GMD042158.pdf","GMD042158.pdf","All Participant Memos","APMs","All Participant Memos","","98-18 - 1998","98-18","1998","APMS-0004-0581","APMS-0004-0593","1","13","239","APMs","","GMD042158","1"
722794,"GMD042165.pdf","GMD042165.pdf","All Participant Memos","APMs","All Participant Memos","","98-25 - 1998","98-25","1998","APMS-0004-0654","APMS-0004-0675","1","22","246","APMs","","GMD042165","1"
249095,"GMD042176.pdf","GMD042176.pdf","All Participant Memos","APMs","All Participant Memos","","98-36 - 1998","98-36","1998","APMS-0004-0745","APMS-0004-0751","1","7","257","APMs","","GMD042176","1"
31538,"GMD042200.pdf","GMD042200.pdf","All Participant Memos","APMs","All Participant Memos","","99-21 - 1999","99-21","1999","APMS-0004-0957","APMS-0004-0957","1","1","282","APMs","","GMD042200","1"
65503,"GMD042202.pdf","GMD042202.pdf","All Participant Memos","APMs","All Participant Memos","","99-23 - 1999","99-23","1999","APMS-0004-0961","APMS-0004-0962","1","2","284","APMs","","GMD042202","1"
435111,"GMD042203.pdf","GMD042203.pdf","All Participant Memos","APMs","All Participant Memos","","99-24 - 1999","99-24","1999","APMS-0004-0963","APMS-0004-0975","1","13","285","APMs","","GMD042203","1"
433515,"GMD042209.pdf","GMD042209.pdf","All Participant Memos","APMs","All Participant Memos","","99-30 - 1999","99-30","1999","APMS-0004-1006","APMS-0004-1018","1","13","291","APMs","","GMD042209","1"
74237,"GMD042246.pdf","GMD042246.pdf","All Participant Memos","APMs","All Participant Memos","","2001-9 - 2001","2001-9","2001","APMS-0004-1279","APMS-0004-1282","1","4","328","APMs","","GMD042246","1"
196955,"GMD042251.pdf","GMD042251.pdf","All Participant Memos","APMs","All Participant Memos","","2001-14 - 2001","2001-14","2001","APMS-0004-1302","APMS-0004-1305","1","4","333","APMs","","GMD042251","1"
415623,"GMD041940.pdf","GMD041940.pdf","All Participant Memos","APMs","All Participant Memos","","91-6 - 1991","91-6","1991","APMS-0003-0844","APMS-0003-0853","1","10","19","APMs","","GMD041940","1"
456701,"GMD041944.pdf","GMD041944.pdf","All Participant Memos","APMs","All Participant Memos","","91-9(a) - 1991","91-9(a)","1991","APMS-0003-0865","APMS-0003-0876","1","12","23","APMs","","GMD041944","1"
179512,"GMD041948.pdf","GMD041948.pdf","All Participant Memos","APMs","All Participant Memos","","91-13 - 1991","91-13","1991","APMS-0003-0909","APMS-0003-0915","1","7","27","APMs","","GMD041948","1"
53940,"GMD041956.pdf","GMD041956.pdf","All Participant Memos","APMs","All Participant Memos","","91-21 - 1991","91-21","1991","APMS-0003-1229","APMS-0003-1229","1","1","35","APMs","","GMD041956","1"
81219,"GMD041960.pdf","GMD041960.pdf","All Participant Memos","APMs","All Participant Memos","","92-27 - 1992","92-27","1992","APMS-0003-1318","APMS-0003-1319","1","2","39","APMs","","GMD041960","1"
208740,"GMD041964.pdf","GMD041964.pdf","All Participant Memos","APMs","All Participant Memos","","92-23 - 1992","92-23","1992","APMS-0003-1414","APMS-0003-1419","1","6","43","APMs","","GMD041964","1"
82903,"GMD041968.pdf","GMD041968.pdf","All Participant Memos","APMs","All Participant Memos","","92-18 - 1992","92-18","1992","APMS-0003-1469","APMS-0003-1470","1","2","48","APMs","","GMD041968","1"
216631,"GMD041972.pdf","GMD041972.pdf","All Participant Memos","APMs","All Participant Memos","","92-14 - 1992","92-14","1992","APMS-0003-1481","APMS-0003-1484","1","4","52","APMs","","GMD041972","1"
60122,"GMD041976.pdf","GMD041976.pdf","All Participant Memos","APMs","All Participant Memos","","92-10 - 1992","92-10","1992","APMS-0003-1548","APMS-0003-1548","1","1","56","APMs","","GMD041976","1"
2215386,"GMD041980.pdf","GMD041980.pdf","All Participant Memos","APMs","All Participant Memos","","92-6 - 1992","92-6","1992","APMS-0003-1591","APMS-0003-1652","1","62","60","APMs","","GMD041980","1"
70858,"GMD041986.pdf","GMD041986.pdf","All Participant Memos","APMs","All Participant Memos","","Table of Contents - 1993","Table of Contents","1993","APMS-0003-1710","APMS-0003-1711","1","2","66","APMs","","GMD041986","1"
67487,"GMD041988.pdf","GMD041988.pdf","All Participant Memos","APMs","All Participant Memos","","93-2 - 1993","93-2","1993","APMS-0003-1717","APMS-0003-1719","1","3","68","APMs","","GMD041988","1"
97012,"GMD041994.pdf","GMD041994.pdf","All Participant Memos","APMs","All Participant Memos","","93-8 - 1993","93-8","1993","APMS-0003-1803","APMS-0003-1805","1","3","74","APMs","","GMD041994","1"
109188,"GMD042002.pdf","GMD042002.pdf","All Participant Memos","APMs","All Participant Memos","","93-16 - 1993","93-16","1993","APMS-0003-1871","APMS-0003-1874","1","4","82","APMs","","GMD042002","1"
96941,"GMD042006.pdf","GMD042006.pdf","All Participant Memos","APMs","All Participant Memos","","93-20 - 1993","93-20","1993","APMS-0003-1884","APMS-0003-1886","1","3","86","APMs","","GMD042006","1"
351828,"GMD042010.pdf","GMD042010.pdf","All Participant Memos","APMs","All Participant Memos","","94-2 - 1994","94-2","1994","APMS-0003-1897","APMS-0003-1906","1","10","90","APMs","","GMD042010","1"
2253011,"GMD042014.pdf","GMD042014.pdf","All Participant Memos","APMs","All Participant Memos","","94-6 - 1994","94-6","1994","APMS-0003-1912","APMS-0003-1961","1","50","94","APMs","","GMD042014","1"
68252,"GMD042018.pdf","GMD042018.pdf","All Participant Memos","APMs","All Participant Memos","","94-10 - 1994","94-10","1994","APMS-0003-1974","APMS-0003-1975","1","2","98","APMs","","GMD042018","1"
96170,"GMD042022.pdf","GMD042022.pdf","All Participant Memos","APMs","All Participant Memos","","94-14 - 1994","94-14","1994","APMS-0003-1992","APMS-0003-1993","1","2","102","APMs","","GMD042022","1"
94909,"GMD042026.pdf","GMD042026.pdf","All Participant Memos","APMs","All Participant Memos","","94-18 - 1994","94-18","1994","APMS-0003-2066","APMS-0003-2068","1","3","106","APMs","","GMD042026","1"
895861,"GMD042030.pdf","GMD042030.pdf","All Participant Memos","APMs","All Participant Memos","","94-22 - 1994","94-22","1994","APMS-0003-2086","APMS-0003-2115","1","30","110","APMs","","GMD042030","1"
56318,"GMD042034.pdf","GMD042034.pdf","All Participant Memos","APMs","All Participant Memos","","95-1 - 1995","95-1","1995","APMS-0003-2122","APMS-0003-2122","1","1","114","APMs","","GMD042034","1"
431719,"GMD042038.pdf","GMD042038.pdf","All Participant Memos","APMs","All Participant Memos","","95-5 - 1995","95-5","1995","APMS-0003-2150","APMS-0003-2162","1","13","118","APMs","","GMD042038","1"
77909,"GMD042048.pdf","GMD042048.pdf","All Participant Memos","APMs","All Participant Memos","","95-15 - 1995","95-15","1995","APMS-0003-2294","APMS-0003-2295","1","2","128","APMs","","GMD042048","1"
183831,"GMD042052.pdf","GMD042052.pdf","All Participant Memos","APMs","All Participant Memos","","95-19 - 1995","95-19","1995","APMS-0003-2368","APMS-0003-2372","1","5","132","APMs","","GMD042052","1"
158755,"GMD042056.pdf","GMD042056.pdf","All Participant Memos","APMs","All Participant Memos","","95-23 - 1995","95-23","1995","APMS-0003-2388","APMS-0003-2391","1","4","136","APMs","","GMD042056","1"
2044286,"GMD042060.pdf","GMD042060.pdf","All Participant Memos","APMs","All Participant Memos","","95-27 - 1995","95-27","1995","APMS-0003-2411","APMS-0003-2463","1","53","140","APMs","","GMD042060","1"
129934,"GMD042070.pdf","GMD042070.pdf","All Participant Memos","APMs","All Participant Memos","","96-4 - 1996","96-4","1996","APMS-0003-2512","APMS-0003-2515","1","4","150","APMs","","GMD042070","1"
347720,"GMD042076.pdf","GMD042076.pdf","All Participant Memos","APMs","All Participant Memos","","96-10 - 1996","96-10","1996","APMS-0003-2747","APMS-0003-2756","1","10","156","APMs","","GMD042076","1"
183244,"GMD042084.pdf","GMD042084.pdf","All Participant Memos","APMs","All Participant Memos","","96-18 - 1996","96-18","1996","APMS-0003-2816","APMS-0003-2820","1","5","164","APMs","","GMD042084","1"
46339,"GMD042088.pdf","GMD042088.pdf","All Participant Memos","APMs","All Participant Memos","","96-22 - 1996","96-22","1996","APMS-0003-2844","APMS-0003-2844","1","1","168","APMs","","GMD042088","1"
131442,"GMD042092.pdf","GMD042092.pdf","All Participant Memos","APMs","All Participant Memos","","96-26 - 1996","96-26","1996","APMS-0003-3233","APMS-0003-3236","1","4","172","APMs","","GMD042092","1"
67297,"GMD042096.pdf","GMD042096.pdf","All Participant Memos","APMs","All Participant Memos","","96-31 - 1996","96-31","1996","APMS-0003-3244","APMS-0003-3245","1","2","177","APMs","","GMD042096","1"
609942,"GMD042104.pdf","GMD042104.pdf","All Participant Memos","APMs","All Participant Memos","","97-6 - 1997","97-6","1997","APMS-0004-0090","APMS-0004-0109","1","20","185","APMs","","GMD042104","1"
1097479,"GMD042108.pdf","GMD042108.pdf","All Participant Memos","APMs","All Participant Memos","","97-10 - 1997","97-10","1997","APMS-0004-0131","APMS-0004-0157","1","27","189","APMs","","GMD042108","1"
130468,"GMD042112.pdf","GMD042112.pdf","All Participant Memos","APMs","All Participant Memos","","97-14 - 1997","97-14","1997","APMS-0004-0186","APMS-0004-0189","1","4","193","APMs","","GMD042112","1"
52110,"GMD042116.pdf","GMD042116.pdf","All Participant Memos","APMs","All Participant Memos","","97-18 - 1997","97-18","1997","APMS-0004-0219","APMS-0004-0219","1","1","197","APMs","","GMD042116","1"
197174,"GMD042120.pdf","GMD042120.pdf","All Participant Memos","APMs","All Participant Memos","","97-22 - 1997","97-22","1997","APMS-0004-0250","APMS-0004-0256","1","7","201","APMs","","GMD042120","1"
1327125,"GMD042128.pdf","GMD042128.pdf","All Participant Memos","APMs","All Participant Memos","","97-30 - 1997","97-30","1997","APMS-0004-0298","APMS-0004-0321","1","24","209","APMs","","GMD042128","1"
128126,"GMD042132.pdf","GMD042132.pdf","All Participant Memos","APMs","All Participant Memos","","97-34 - 1997","97-34","1997","APMS-0004-0367","APMS-0004-0369","1","3","213","APMs","","GMD042132","1"
25737,"GMD042136.pdf","GMD042136.pdf","All Participant Memos","APMs","All Participant Memos","","97-38 - 1997","97-38","1997","APMS-0004-0401","APMS-0004-0401","1","1","217","APMs","","GMD042136","1"
159429,"GMD042140.pdf","GMD042140.pdf","All Participant Memos","APMs","All Participant Memos","","Table of Contents - 1998","Table of Contents","1998","APMS-0004-0406","APMS-0004-0409","1","4","221","APMs","","GMD042140","1"
442963,"GMD042144.pdf","GMD042144.pdf","All Participant Memos","APMs","All Participant Memos","","98-4 - 1998","98-4","1998","APMS-0004-0434","APMS-0004-0446","1","13","225","APMs","","GMD042144","1"
129300,"GMD042150.pdf","GMD042150.pdf","All Participant Memos","APMs","All Participant Memos","","98-10 - 1998","98-10","1998","APMS-0004-0512","APMS-0004-0514","1","3","231","APMs","","GMD042150","1"
130943,"GMD041908.pdf","GMD041908.pdf","All Participant Memos","APMs","All Participant Memos","","9619 - 1996","9619","1996","APMS-0002-1791","APMS-0002-1793","1","3","351","APMs","","GMD041908","1"
4370582,"GMD041912.pdf","GMD041912.pdf","All Participant Memos","APMs","All Participant Memos","","9623 - 1996","9623","1996","APMS-0002-1818","APMS-0002-1920","1","103","355","APMs","","GMD041912","1"
135437,"GMD041915.pdf","GMD041915.pdf","All Participant Memos","APMs","All Participant Memos","","9626 - 1996","9626","1996","APMS-0002-2206","APMS-0002-2210","1","5","358","APMs","","GMD041915","1"
57183,"GMD041917.pdf","GMD041917.pdf","All Participant Memos","APMs","All Participant Memos","","9628 - 1996","9628","1996","APMS-0002-2215","APMS-0002-2216","1","2","360","APMs","","GMD041917","1"
258932,"GMD041923.pdf","GMD041923.pdf","All Participant Memos","APMs","All Participant Memos","","1980","","1980","APMS-0003-0036","APMS-0003-0043","1","8","2","APMs","","GMD041923","1"
200679,"GMD041927.pdf","GMD041927.pdf","All Participant Memos","APMs","All Participant Memos","","1984","","1984","APMS-0003-0164","APMS-0003-0170","1","7","6","APMs","","GMD041927","1"
2963078,"GMD041931.pdf","GMD041931.pdf","All Participant Memos","APMs","All Participant Memos","","1988","","1988","APMS-0003-0370","APMS-0003-0461","1","92","10","APMs","","GMD041931","1"
22444,"GMD041935.pdf","GMD041935.pdf","All Participant Memos","APMs","All Participant Memos","","91-1 - 1991","91-1","1991","APMS-0003-0829","APMS-0003-0829","1","1","14","APMs","","GMD041935","1"
87692,"GMD041939.pdf","GMD041939.pdf","All Participant Memos","APMs","All Participant Memos","","91-5 - 1991","91-5","1991","APMS-0003-0841","APMS-0003-0843","1","3","18","APMs","","GMD041939","1"
180063,"GMD041943.pdf","GMD041943.pdf","All Participant Memos","APMs","All Participant Memos","","91-9 - 1991","91-9","1991","APMS-0003-0857","APMS-0003-0864","1","8","22","APMs","","GMD041943","1"
891918,"GMD041947.pdf","GMD041947.pdf","All Participant Memos","APMs","All Participant Memos","","91-12 - 1991","91-12","1991","APMS-0003-0888","APMS-0003-0908","1","21","26","APMs","","GMD041947","1"
1489698,"GMD041951.pdf","GMD041951.pdf","All Participant Memos","APMs","All Participant Memos","","91-16 - 1991","91-16","1991","APMS-0003-1134","APMS-0003-1170","1","37","30","APMs","","GMD041951","1"
349511,"GMD041955.pdf","GMD041955.pdf","All Participant Memos","APMs","All Participant Memos","","91-20 - 1991","91-20","1991","APMS-0003-1220","APMS-0003-1228","1","9","34","APMs","","GMD041955","1"
96023,"GMD041959.pdf","GMD041959.pdf","All Participant Memos","APMs","All Participant Memos","","92-28 - 1992","92-28","1992","APMS-0003-1316","APMS-0003-1317","1","2","38","APMs","","GMD041959","1"
435314,"GMD041967.pdf","GMD041967.pdf","All Participant Memos","APMs","All Participant Memos","","92-19 - 1992","92-19","1992","APMS-0003-1453","APMS-0003-1468","1","16","47","APMs","","GMD041967","1"
159235,"GMD041971.pdf","GMD041971.pdf","All Participant Memos","APMs","All Participant Memos","","92-15 - 1992","92-15","1992","APMS-0003-1474","APMS-0003-1480","1","7","51","APMs","","GMD041971","1"
112609,"GMD041975.pdf","GMD041975.pdf","All Participant Memos","APMs","All Participant Memos","","92-11 - 1992","92-11","1992","APMS-0003-1545","APMS-0003-1547","1","3","55","APMs","","GMD041975","1"
94938,"GMD041979.pdf","GMD041979.pdf","All Participant Memos","APMs","All Participant Memos","","92-7 - 1992","92-7","1992","APMS-0003-1589","APMS-0003-1590","1","2","59","APMs","","GMD041979","1"
2515847,"GMD041985.pdf","GMD041985.pdf","All Participant Memos","APMs","All Participant Memos","","92-1 - 1992","92-1","1992","APMS-0003-1682","APMS-0003-1709","1","28","65","APMs","","GMD041985","1"
2114482,"GMD041991.pdf","GMD041991.pdf","All Participant Memos","APMs","All Participant Memos","","93-5 - 1993","93-5","1993","APMS-0003-1729","APMS-0003-1794","1","66","71","APMs","","GMD041991","1"
114525,"GMD041996.pdf","GMD041996.pdf","All Participant Memos","APMs","All Participant Memos","","93-10 - 1993","93-10","1993","APMS-0003-1808","APMS-0003-1810","1","3","76","APMs","","GMD041996","1"
43953,"GMD042000.pdf","GMD042000.pdf","All Participant Memos","APMs","All Participant Memos","","93-14 - 1993","93-14","1993","APMS-0003-1858","APMS-0003-1859","1","2","80","APMs","","GMD042000","1"
97056,"GMD042004.pdf","GMD042004.pdf","All Participant Memos","APMs","All Participant Memos","","93-18 - 1993","93-18","1993","APMS-0003-1878","APMS-0003-1880","1","3","84","APMs","","GMD042004","1"
109809,"GMD042008.pdf","GMD042008.pdf","All Participant Memos","APMs","All Participant Memos","","Table of Contents - 1994","Table of Contents","1994","APMS-0003-1891","APMS-0003-1895","1","5","88","APMs","","GMD042008","1"
100751,"GMD042016.pdf","GMD042016.pdf","All Participant Memos","APMs","All Participant Memos","","94-8 - 1994","94-8","1994","APMS-0003-1970","APMS-0003-1972","1","3","96","APMs","","GMD042016","1"
439573,"GMD042020.pdf","GMD042020.pdf","All Participant Memos","APMs","All Participant Memos","","94-12 - 1994","94-12","1994","APMS-0003-1977","APMS-0003-1989","1","13","100","APMs","","GMD042020","1"
2074806,"GMD042024.pdf","GMD042024.pdf","All Participant Memos","APMs","All Participant Memos","","94-16 - 1994","94-16","1994","APMS-0003-2007","APMS-0003-2061","1","55","104","APMs","","GMD042024","1"
40518,"GMD042028.pdf","GMD042028.pdf","All Participant Memos","APMs","All Participant Memos","","94-20 - 1994","94-20","1994","APMS-0003-2084","APMS-0003-2084","1","1","108","APMs","","GMD042028","1"
40566,"GMD042032.pdf","GMD042032.pdf","All Participant Memos","APMs","All Participant Memos","","94-24 - 1994","94-24","1994","APMS-0003-2118","APMS-0003-2118","1","1","112","APMs","","GMD042032","1"
361050,"GMD042036.pdf","GMD042036.pdf","All Participant Memos","APMs","All Participant Memos","","95-3 - 1995","95-3","1995","APMS-0003-2137","APMS-0003-2146","1","10","116","APMs","","GMD042036","1"
32603,"GMD042044.pdf","GMD042044.pdf","All Participant Memos","APMs","All Participant Memos","","95-11 - 1995","95-11","1995","APMS-0003-2230","APMS-0003-2230","1","1","124","APMs","","GMD042044","1"
656906,"GMD042047.pdf","GMD042047.pdf","All Participant Memos","APMs","All Participant Memos","","95-14 - 1995","95-14","1995","APMS-0003-2283","APMS-0003-2293","1","11","127","APMs","","GMD042047","1"
486138,"GMD042051.pdf","GMD042051.pdf","All Participant Memos","APMs","All Participant Memos","","95-18 - 1995","95-18","1995","APMS-0003-2356","APMS-0003-2367","1","12","131","APMs","","GMD042051","1"
28221,"GMD042055.pdf","GMD042055.pdf","All Participant Memos","APMs","All Participant Memos","","95-22 - 1995","95-22","1995","APMS-0003-2387","APMS-0003-2387","1","1","135","APMs","","GMD042055","1"
112714,"GMD042066.pdf","GMD042066.pdf","All Participant Memos","APMs","All Participant Memos","","Table of Contents - 1996","Table of Contents","1996","APMS-0003-2496","APMS-0003-2498","1","3","146","APMs","","GMD042066","1"
78450,"GMD042069.pdf","GMD042069.pdf","All Participant Memos","APMs","All Participant Memos","","96-3 - 1996","96-3","1996","APMS-0003-2510","APMS-0003-2511","1","2","149","APMs","","GMD042069","1"
4656313,"GMD042072.pdf","GMD042072.pdf","All Participant Memos","APMs","All Participant Memos","","96-6 - 1996","96-6","1996","APMS-0003-2619","APMS-0003-2721","1","103","152","APMs","","GMD042072","1"
343782,"GMD042075.pdf","GMD042075.pdf","All Participant Memos","APMs","All Participant Memos","","96-9 - 1996","96-9","1996","APMS-0003-2739","APMS-0003-2746","1","8","155","APMs","","GMD042075","1"
82868,"GMD042078.pdf","GMD042078.pdf","All Participant Memos","APMs","All Participant Memos","","96-12 - 1996","96-12","1996","APMS-0003-2794","APMS-0003-2795","1","2","158","APMs","","GMD042078","1"
430952,"GMD042086.pdf","GMD042086.pdf","All Participant Memos","APMs","All Participant Memos","","96-20 - 1996","96-20","1996","APMS-0003-2824","APMS-0003-2836","1","13","166","APMs","","GMD042086","1"
94292,"GMD042090.pdf","GMD042090.pdf","All Participant Memos","APMs","All Participant Memos","","96-24 - 1996","96-24","1996","APMS-0003-2948","APMS-0003-2950","1","3","170","APMs","","GMD042090","1"
54559,"GMD042094.pdf","GMD042094.pdf","All Participant Memos","APMs","All Participant Memos","","96-28 - 1996","96-28","1996","APMS-0003-3240","APMS-0003-3241","1","2","174","APMs","","GMD042094","1"
135357,"GMD042098.pdf","GMD042098.pdf","All Participant Memos","APMs","All Participant Memos","","Table of Contents - 1997","Table of Contents","1997","APMS-0004-0001","APMS-0004-0004","1","4","179","APMs","","GMD042098","1"
890725,"GMD042102.pdf","GMD042102.pdf","All Participant Memos","APMs","All Participant Memos","","97-4 - 1997","97-4","1997","APMS-0004-0056","APMS-0004-0076","1","21","183","APMs","","GMD042102","1"
849662,"GMD042145.pdf","GMD042145.pdf","All Participant Memos","APMs","All Participant Memos","","98-5 - 1998","98-5","1998","APMS-0004-0447","APMS-0004-0468","1","22","226","APMs","","GMD042145","1"
443258,"GMD042155.pdf","GMD042155.pdf","All Participant Memos","APMs","All Participant Memos","","98-15 - 1998","98-15","1998","APMS-0004-0541","APMS-0004-0553","1","13","236","APMs","","GMD042155","1"
142021,"GMD042162.pdf","GMD042162.pdf","All Participant Memos","APMs","All Participant Memos","","98-22 - 1998","98-22","1998","APMS-0004-0611","APMS-0004-0614","1","4","243","APMs","","GMD042162","1"
325067,"GMD042166.pdf","GMD042166.pdf","All Participant Memos","APMs","All Participant Memos","","98-26 - 1998","98-26","1998","APMS-0004-0676","APMS-0004-0689","1","14","247","APMs","","GMD042166","1"
473979,"GMD042170.pdf","GMD042170.pdf","All Participant Memos","APMs","All Participant Memos","","98-30 - 1998","98-30","1998","APMS-0004-0705","APMS-0004-0717","1","13","251","APMs","","GMD042170","1"
76627,"GMD042174.pdf","GMD042174.pdf","All Participant Memos","APMs","All Participant Memos","","98-34 - 1998","98-34","1998","APMS-0004-0740","APMS-0004-0741","1","2","255","APMs","","GMD042174","1"
50343,"GMD042178.pdf","GMD042178.pdf","All Participant Memos","APMs","All Participant Memos","","98-38 - 1998","98-38","1998","APMS-0004-0765","APMS-0004-0766","1","2","259","APMs","","GMD042178","1"
462005,"GMD042182.pdf","GMD042182.pdf","All Participant Memos","APMs","All Participant Memos","","99-2 - 1999","99-2","1999","APMS-0004-0777","APMS-0004-0789","1","13","263","APMs","","GMD042182","1"
322613,"GMD042186.pdf","GMD042186.pdf","All Participant Memos","APMs","All Participant Memos","","99-6 - 1999","99-6","1999","APMS-0004-0801","APMS-0004-0808","1","8","267","APMs","","GMD042186","1"
26821,"GMD042190.pdf","GMD042190.pdf","All Participant Memos","APMs","All Participant Memos","","99-10 - 1999","99-10","1999","APMS-0004-0847","APMS-0004-0847","1","1","271","APMs","","GMD042190","1"
625098,"GMD042194.pdf","GMD042194.pdf","All Participant Memos","APMs","All Participant Memos","","99-14 - 1999","99-14","1999","APMS-0004-0900","APMS-0004-0916","1","17","275","APMs","","GMD042194","1"
57646,"GMD042198.pdf","GMD042198.pdf","All Participant Memos","APMs","All Participant Memos","","99-19 - 1999","99-19","1999","APMS-0004-0952","APMS-0004-0953","1","2","280","APMs","","GMD042198","1"
24743,"GMD042206.pdf","GMD042206.pdf","All Participant Memos","APMs","All Participant Memos","","99-27 - 1999","99-27","1999","APMS-0004-0990","APMS-0004-0990","1","1","288","APMs","","GMD042206","1"
35666,"GMD042210.pdf","GMD042210.pdf","All Participant Memos","APMs","All Participant Memos","","99-31 - 1999","99-31","1999","APMS-0004-1019","APMS-0004-1019","1","1","292","APMs","","GMD042210","1"
107684,"GMD042214.pdf","GMD042214.pdf","All Participant Memos","APMs","All Participant Memos","","99-35 - 1999","99-35","1999","APMS-0004-1026","APMS-0004-1028","1","3","296","APMs","","GMD042214","1"
369919,"GMD042220.pdf","GMD042220.pdf","All Participant Memos","APMs","All Participant Memos","","00-3 - 2000","00-3","2000","APMS-0004-1048","APMS-0004-1056","1","9","302","APMs","","GMD042220","1"
305325,"GMD042223.pdf","GMD042223.pdf","All Participant Memos","APMs","All Participant Memos","","00-6 - 2000","00-6","2000","APMS-0004-1067","APMS-0004-1075","1","9","305","APMs","","GMD042223","1"
